"Spell name","Spell School","V","S","M","AF","DF","XP","Rulebook name","Edition"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/animal-messenger--2524/""; ""Animal Messenger"")","Enchantment","yes","yes","yes","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/animal-trance--2525/""; ""Animal Trance"")","Enchantment","yes","yes","no","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-ii--80/animalistic-power--2997/""; ""Animalistic Power"")","Transmutation","yes","yes","yes","no","no","no","Player's Handbook II","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-arcane--55/animate-fire--533/""; ""Animate Fire"")","Transmutation","no","no","no","no","no","no","Complete Arcane","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/balancing-lorecall--368/""; ""Balancing Lorecall"")","Divination","yes","yes","yes","no","yes","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/barkskin--2782/""; ""Barkskin"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/bears-endurance--2783/""; ""Bear's Endurance"")","Transmutation","yes","yes","no","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-mage--58/blackrot--848/""; ""Blackrot"")","Necromancy","yes","yes","no","no","no","no","Complete Mage","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/body-of-the-sun--731/""; ""Body of the Sun"")","Transmutation","yes","yes","no","no","yes","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-champion--57/body-ward--583/""; ""Body Ward"")","Abjuration","yes","yes","no","no","yes","no","Complete Champion","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/brambles--732/""; ""Brambles"")","Transmutation","yes","yes","yes","no","no","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-adventurer--54/branch-to-branch--414/""; ""Branch to Branch"")","Transmutation","yes","yes","no","no","no","no","Complete Adventurer","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-divine--56/briar-web--733/""; ""Briar Web"")","Transmutation","yes","yes","no","no","yes","no","Complete Divine","Supplementals (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/bulls-strength--2788/""; ""Bull's Strength"")","Transmutation","yes","yes","yes","no","yes","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/players-handbook-v35--6/cats-grace--2790/""; ""Cat's Grace"")","Transmutation","yes","yes","yes","no","no","no","Player's Handbook v.3.5","Core (3.5)"
"=HYPERLINK(""https://dndtools.net/spells/complete-arcane--55/chameleon--513/""; ""Chameleon"")","Illusion","yes","yes","yes","no","no","no","Complete Arcane","Supplementals (3.5)"
